ldr,rd,rs,_
str,_,rs,ri
mov,rd,_,ri
mvn,rd,_,ri
srr,rd,sr,_
srw,_,sr,ri
sst,_,_,_
ssr,_,_,_
add,rd,rs,ri
adds,rd,rs,ri
sub,rd,rs,ri
subs,rd,rs,ri
rsb,rd,rs,ri
rsbs,rd,rs,ri
and,rd,rs,ri
ands,rd,rs,ri
orr,rd,rs,ri
orrs,rd,rs,ri
xor,rd,rs,ri
xors,rd,rs,ri
lsl,rd,_,ri
lsls,rd,_,ri
lsr,rd,_,ri
lsrs,rd,_,ri
asl,rd,_,ri
asls,rd,_,ri
asr,rd,_,ri
asrs,rd,_,ri
csl,rd,_,ri
csls,rd,_,ri
csr,rd,_,ri
csrs,rd,_,ri
cmn,_,rs,ri
cmp,_,rs,ri
cmr,_,rs,ri
andd,_,rs,ri
orrd,_,rs,ri
xord,_,rs,ri
lsld,_,_,ri
lsrd,_,_,ri
asld,_,_,ri
asrd,_,_,ri
csld,_,_,ri
csrd,_,_,ri
br,_,_,ri
brl,rd,_,ri
ba,_,_,ri
bal,rd,_,ri
ior,rd,p,_
iow,_,p,ri
psr,rd,p,_
pop,rd,_,_
psh,_,_,ri
svc,_,_,_
